authorName,bookFormat,bookId,description,numberOfPages,numberOfRatings,numberOfReviews,publishedBy,publishedDate,rating,title
François Duval,Kindle Edition,38470735,"This book has been written in layman's terms as an introduction to neural networks and their algorithms. Each algorithm is explained very easily for more understanding.<br /><br /><br />Instead of tough math formulas, this book contains several graphs and images which detail all algorithms and their applications in all area of the real life.<br /><br /><br />An Artificial Neural Network (ANN) is a computational model. It is based on the structure and functions of biological neural networks. It works like the way human (animal) brain processes information. It includes a large number of connected processing units called neurons that work together to process information. They also generate meaningful results from it. In this book, we will take you through the complete introduction to Artificial Neural Network, Artificial Neural Network Structure, layers of ANN, Applications, Algorithms, Tools and technology, Practical implementations and the benefits and limitations of ANN.<br /><br />This book takes a different approach that is based on providing simple examples of how ANN algorithms work, and building on those examples step by step to encompass the more complicated parts of the algorithms. <br /><br /><br />The book designed for a variety of target audiences. The most suitable users would  <br /><br /><br /><br /><br /><br /><br /><br /> Is this book for me and do I need programming experience?<br /> If you want to learn more about deep learning with practical applications, this book is for you. This book has been written in layman's terms as an introduction to neural networks and their algorithms. Each algorithm is explained very easily for more understanding. No coding experience is required. Some practical examples is presented with Python but it is not the major part of the book.<br /><br /> Can I loan this book to friends?<br /> Yes. Under Amazon’s Kindle Book Lending program, you can lend this book to friends and family for a duration of 14 days.<br /><br /> Does this book include everything I need to become a Neural Networks expert?<br /> Unfortunately, no. This book is designed for readers taking their first steps in neural networks and further learning will be required beyond this book to master all aspects of neural networks.<br /><br /> Can I have a refund if this book is not fitted for me?<br /> Yes, Amazon refund you if you aren't satisfied, for more information about the amazon refund service please go to the amazon help platform. will also be happy to help you if you send us an email at customer_service@datasciences-book.com.",128.0,15,2,CreateSpace Publishing,"February 5, 2018",3.53,"Neural Networks: Artificial Neural Networks. Concepts, Tools and Techniques explained for Absolute Beginners"
François Duval,Kindle Edition,37728694,"<em>***** #1 Kindle Store Bestseller in Mathematical Analysis (Throughout 2017) *****</em> <br />  <br /> Are you thinking of learning more about Deep Learning?  <br />If you are looking for a book to help you understand how the deep learning works by using Python and Tensorflow, then this is a good book for you.  <br /><p></p> <br />  Several Visual Illustrations and Examples  <br />Equations are great for really understanding every last detail of an algorithm.  But to get a basic idea of how things work, this book contains several graphs which detail each neural networks/deep learning algorithms. It is contains also several graphs for the practical examples. <br /><p></p> <br />  This Is a Practical Guide Book  <br />This book will help you explore exactly what deep learning is and will also teach you about why it is so revolutionary and fascinating. The chapters will introduce the reader to the concepts, techniques, and applications of deep learning algorithms with the practical case studies and walk-through examples on which to practice. <br /> <br /><p>This book takes a different approach that is based on providing simple examples of how deep learning algorithms work, and building on those examples step by step to encompass the more complicated parts of the algorithms. </p> <br /><p></p> <br /> Python and TensorFlow Codes for the Examples Shown In the Book  <br /> You will build your Deep Learning Model by using Python and Tensorflow  <br />There are many ways to build a deep learning model. However, it can also be overwhelming when you start, because there are so many tools to choose. In this book, we choose only these two tools: Tensorflow and Python. <br /><p></p> <br /> Target Users  <br />The book designed for a variety of target audiences. The most suitable users would include:  <br /> 
   Newbies in computer science techniques and deep learning 
   Professionals in data science and social sciences 
   Professors, lecturers or tutors who are looking to find better ways to explain the content to their students in the simplest and easiest way  
   Students and academicians, especially those focusing on neural networks and deep learning 
  <br /><p></p> <br /> What’s inside this book?  <br /> 
   Overview in Deep Learning 
   Quick Example to start 
   Popular Open Source Library 
   Pre-requisite for Deep Learning 
   Deep Learning Presentation 
   Deep Neural Networks Applications with Tensorflow and Python 
   Autoencoders Algorithms 
   Deep Learning for Computer Games 
   Anomaly Detection 
   Glossary of Some Useful Terms in Deep Learning 
   Useful References 
  <br /><p>Click the BUY button and download the book now to start learning Deep Learning. Learn it fast and learn it well.</p>",114.0,8,1,CreateSpace Publishing,"December 25, 2017",4.0,Deep Learning: Deep Learning for Beginners. Practical Guide with Python and Tensorflow
Robert Johansson,Kindle Edition,43845428,"Leverage the numerical and mathematical modules in Python and its standard library as well as popular open source numerical Python packages like NumPy, SciPy, FiPy, matplotlib and more. This fully revised edition, updated with the latest details of each package and changes to Jupyter projects, demonstrates how to numerically compute solutions and mathematically model applications in big data, cloud computing, financial engineering, business management and more. <br /><br />Numerical Python, Second Edition, presents many brand-new case study examples of applications in data science and statistics using Python, along with extensions to many previous examples. Each of these demonstrates the power of Python for rapid development and exploratory computing due to its simple and high-level syntax and multiple options for data analysis. <br /><br />After reading this book, readers will be familiar with many computing techniques including array-based and symbolic computing, visualization and numerical file I/O, equation solving, optimization, interpolation and integration, and domain-specific computational problems, such as differential equation solving, data analysis, statistical modeling and machine learning.<br /><br />W<b>hat You'll Learn</b><br /><br />Work with vectors and matrices using NumPyPlot and visualize data with MatplotlibPerform data analysis tasks with Pandas and SciPyReview statistical modeling and machine learning with statsmodels and scikit-learnOptimize Python code using Numba and Cython<b>Who This Book Is For</b>Developers who want to understand how to use Python and its related ecosystem for numerical computing. ",980.0,19,2,Apress,"December 24, 2018",4.05,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib"
Elizabeth Clarke,Kindle Edition,63323296,"<b>Harvard Business Review called data science “the sexiest job of the 21st century,” so it's no surprise that data science jobs have grown up to 20x in the last 3 years. With demand outpacing supply, companies are willing to pay top dollar for talented data professionals. However…</b>To stand out in one of these positions, having foundational knowledge of interpreting data is essential. You can be a spreadsheet guru, but without the ability to turn raw data into valuable insights, the data will render useless.<br /><br />That leads us to data analytics and visualization, the ability to examine data sets, draw meaningful conclusions and trends, and present those findings to the decision-maker effectively.<br /><br />Mastering this skill will undoubtedly lead to better and faster business decisions.<br /><br />The 3 books in this series will cover the foundational knowledge of data analytics, data visualization, and presenting data so you can master this essential skill in no time.<br /><br /><b>This series </b><br /><br />Everything Data Analytics-A Beginner's Guide to Data Understanding the Processes That Turn Data Into InsightsBeginners Guide to Data How to Understand, Design, and Optimize Over 40 Different ChartsHow To Win With Your Data The 5-Part Guide For Junior Analysts To Create Effective Data Visualizations And Engaging Data Stories <b>These 3 books cover an extensive amount of information, such </b><br /><br /><b>Overview of the Data collection, management, and storage processes</b>Fundamentals of cleaning data<b>Essential machine learning algorithms required for analysis such as regression, clustering, classification, and more… </b>The fundamentals of data visualization<b>An in-depth view of over 40+ charts and when to use them</b>A comprehensive data visualization design guide<b>Walkthrough on how to present data effectively</b>And so much more…<br /><br />Whether you are entirely new to the wonderful world of data or transitioning from your current role, this book will build your data literacy foundation and set you up for success in one of the most sought-after careers of the decade.<br /><br />For less than your Friday lunch, you can start your data journey and finally break that 6-figure mark in your career. You're closer than you think…<b> Click buy now above and be one step closer.</b>",530.0,3,1,,"November 9, 2022",3.67,"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, ... Present Data Effectively"
Tim Cogan,Kindle Edition,62795010,"Data Science for Babies introduces basic data science and statistical concepts to young children,",29.0,63,53,,"September 21, 2022",4.65,Data Science for Babies
Harvinder Atwal,Paperback,50204197,"Gain a practical introduction to DataOps, a new discipline for delivering data science at scale inspired by practices at companies such as Facebook, Uber, LinkedIn, Twitter, and eBay. Organizations need more than the latest AI algorithms, hottest tools, and best people to turn data into insight-driven action and useful analytical data products. Processes and thinking employed to manage and use data in the 20th century are a bottleneck for working effectively with the variety of data and advanced analytical use cases that organizations have today. This book provides the approach and methods to ensure continuous rapid use of data to create analytical data products and steer decision making.<br /><b>
  <i>Practical DataOps</i>
</b> shows you how to optimize the data supply chain from diverse raw data sources to the final data product, whether the goal is a machine learning model or other data-orientated output. The book provides an approach to eliminate wasted effort and improve collaboration between data producers, data consumers, and the rest of the organization through the adoption of lean thinking and agile software development principles.<br />This book helps you to improve the speed and accuracy of analytical application development through data management and DevOps practices that securely expand data access, and rapidly increase the number of reproducible data products through automation, testing, and integration. The book also shows how to collect feedback and monitor performance to manage and continuously improve your processes and output.<br /><br /><b>What You Will Learn</b><br />Develop a data strategy for your organization to help it reach its long-term goals<br /><br /><br />Recognize and eliminate barriers to delivering data to users at scale<br /><br /><br />Work on the right things for the right stakeholders through agile collaboration<br /><br /><br />Create trust in data via rigorous testing and effective data management<br /><br /><br />Build a culture of learning and continuous improvement through monitoring deployments and measuring outcomes<br /><br /><br />Create cross-functional self-organizing teams focused on goals not reporting lines<br /><br /><br />Build robust, trustworthy, data pipelines in support of AI, machine learning, and other analytical data products<br /><br /><br /><br /><b>Who This Book Is For</b><br />Data science and advanced analytics experts, CIOs, CDOs (chief data officers), chief analytics officers, business analysts, business team leaders, and IT professionals (data engineers, developers, architects, and DBAs) supporting data teams who want to dramatically increase the value their organization derives from data. The book is ideal for data professionals who want to overcome challenges of long delivery time, poor data quality, high maintenance costs, and scaling difficulties in getting data science output and machine learning into customer-facing production.<br />",275.0,21,2,Apress,"December 10, 2019",3.76,Practical Dataops: Delivering Agile Data Science at Scale
Ulrika Jägare,Kindle Edition,49386351,"<p>
  <b>All the answers to your data science questions</b>
</p> <p>Over half of all businesses are using data science to generate insights and value from big data. How are they doing it? <i>Data Science Strategy For Dummies </i>answers all your questions about how to build a data science capability from scratch, starting with the “what” and the “why” of data science and covering what it takes to lead and nurture a top-notch team of data scientists.</p> <p>With this book, you’ll learn how to incorporate data science as a strategic function into any business, large or small. Find solutions to your real-life challenges as you uncover the stories and value hidden within data.</p>    Learn exactly what data science is and why it’s important   Adopt a data-driven mindset as the foundation to success   Understand the processes and common roadblocks behind data science   Keep your data science program focused on generating business value   Nurture a top-quality data science team    <p>In non-technical language, <i>Data Science Strategy For Dummies </i>outlines new perspectives and strategies to effectively lead analytics and data science functions to create real value.</p>",352.0,17,4,For Dummies,"June 12, 2019",3.47,Data Science Strategy For Dummies (For Dummies
Stephen Klosterman,Kindle Edition,45896237,"<b>Gain hands-on experience with industry-standard data analysis and machine learning tools in Python</b><br /><br />Key FeaturesTackle data science problems by identifying the problem to be solvedIllustrate patterns in data using appropriate visualizationsImplement suitable machine learning algorithms to gain insights from dataBook DescriptionData Science Projects with Python is designed to give you practical guidance on industry-standard data analysis and machine learning tools, by applying them to realistic data problems. You will learn how to use pandas and Matplotlib to critically examine datasets with summary statistics and graphs, and extract the insights you seek to derive. You will build your knowledge as you prepare data using the scikit-learn package and feed it to machine learning algorithms such as regularized logistic regression and random forest. You'll discover how to tune algorithms to provide the most accurate predictions on new and unseen data. As you progress, you'll gain insights into the working and output of these algorithms, building your understanding of both the predictive capabilities of the models and why they make these predictions.<br /><br />By then end of this book, you will have the necessary skills to confidently use machine learning algorithms to perform detailed data analysis and extract meaningful insights from unstructured data.<br /><br />What you will learnInstall the required packages to set up a data science coding environmentLoad data into a Jupyter notebook running PythonUse Matplotlib to create data visualizationsFit machine learning models using scikit-learnUse lasso and ridge regression to regularize your modelsCompare performance between models to find the best outcomesUse k-fold cross-validation to select model hyperparametersWho this book is forIf you are a data analyst, data scientist, or business analyst who wants to get started using Python and machine learning techniques to analyze data and predict outcomes, this book is for you. Basic knowledge of Python and data analytics will help you get the most from this book. Familiarity with mathematical concepts such as algebra and basic statistics will also be useful.<br /><br />Table of ContentsData Exploration and CleaningIntroduction to Scikit-Learn and Model EvaluationDetails of Logistic Regression and Feature ExplorationThe Bias-Variance Trade-offDecision Trees and Random ForestsImputation of Missing Data, Financial Analysis, and Delivery to Client",374.0,11,4,Packt Publishing,"April 30, 2019",4.27,"Data Science Projects with Python: A case study approach to successful data science projects using Python, pandas, and scikit-learn"
Eric   Anderson,Hardcover,54083653,"Lead your organization to become evidence-driven<br /><br />Data. It’s the benchmark that informs corporate projections, decision-making, and analysis. But, why do many organizations that see themselves as data-driven fail to thrive? In Leading with AI and Analytics , two renowned experts from the Kellogg School of Management show business leaders how to transform their organization to become evidence-driven, which leads to real, measurable changes that can help propel their companies to the top of their industries.<br /><br />The availability of unprecedented technology-enabled tools has made AI (Artificial Intelligence) an essential component of business analytics. But what’s often lacking are the leadership skills to integrate these technologies to achieve maximum value. Here, the authors provide a comprehensive game plan for developing that all-important human factor to get at the heart of data the ability to apply analytical thinking to real-world problems. Each of these tools and techniques comes to powerful life through a wealth of powerful case studies and real-world success stories.<br /><br />Inside, you’ll find the essential tools to help <br />Written for anyone in a leadership or management role―from C-level/unit team managers to rising talent―this powerful, hands-on guide meets today’s growing need for real-world tools to lead and succeed with data.",352.0,20,2,McGraw Hill,"December 8, 2020",4.0,Leading with AI and Analytics: Build Your Data Science IQ to Drive Business Value
Chris Fregly,Kindle Edition,57671430,"If you use data to make critical business decisions, this book is for you. Whether you’re a data analyst, research scientist, data engineer, ML engineer, data scientist, application developer, or systems developer, this guide helps you broaden your understanding of the modern data science stack, create your own machine learning pipelines, and deploy them to applications at production scale.<br /><br />The AWS data science stack unifies data science, data engineering, and application development to help you level up your skills beyond your current role. Authors Antje Barth and Chris Fregly show you how to build your own ML pipelines from existing APIs, submit them to the cloud, and integrate results into your application in minutes instead of days.",913.0,43,6,O'Reilly Media,"April 7, 2021",3.88,"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines"
Code Well Academy,Kindle Edition,25840470,"  ARE YOU READY TO CODE THE NEXT GREATEST WEB APP?   <br /> <br /><b>New and Improved! Updated for Additional Content </b> <br />You’ve spoken and we’ve listened. <br />The Master’s Handbook series has been REVAMPED! <br />We thank you all greatly for the support =) <br /> <br /><b> “The content of the book was brilliantly put together “ </b> <br /><i> - Donay Mitchell, from Amazon.com <br /></i> <br /><b> “The author did a great job in writing this book “ </b> <br /><i> - CL White, from Amazon.com <br /></i> <br /><b> “ This book is focused, straight to the point, dense, fun to read and enjoyable with it's strong logical flow of ideas. “ </b> <br /><i> - Miller, from Amazon.com <br /></i> <br /> <br />  Read this book for FREE on Kindle Unlimited NOW   <br /> <br /><b> Looking to build a high-paying Programming Career? </b> <br /><b> Would you like to become an up-and-coming Ruby Developer? </b> <br /> <br />Crafted by some of the best minds who have studied in some of the world’s top universities, You’re among one of the best learning programs out there. <br /> <br /><b>For less than the price of a good cup of coffee, </b> <br /><b>Download your copy today!</b> <br /> <br /><b> Within this book's pages, you'll find GREAT coding skills to learn - and more. <br />Just some of the questions and topics include: </b> <br /> <br />- The Beautiful Ruby Syntax explained <br />- Programming Mistakes in Ruby you CANNOT afford to make <br />- The Ruby Class System is complicated - UNTIL you read this... <br />- How to create Data to Model REAL-LIFE Situations (Few books will teach this…) <br />- Other Programming Books don’t have these Ruby Shortcuts and Tricks <br />and Much, much more! <br /> <br /><b>World-Class Training</b> <br />This book breaks your training down into easy-to-understand modules. <br />It starts from the very essentials of data structures and functions, <br />so you can write <b> great code </b> - even as a beginner! <br /> <br />  Scroll to the top and select the ""BUY"" button for instant download.   <br /><b>BONUS:</b> Download today and get ALL future updates to this book edition for FREE <br /> <br />You’ll be happy you did!",208.0,11,1,,"June 24, 2015",3.0,"Ruby: Programming, Master's Handbook: A TRUE Beginner's Guide! Problem Solving, Code, Data Science, Data Structures & Algorithms"
Samuel Burns,Kindle Edition,50914837,"Gain an understanding of the foundations of data science and its applications. This short book does not require technical abilities or cover how to code. The author focuses on nontechnical skills, such as the management of data science implementation efforts. This book is recommended for beginners and anybody who want to understand Data Science in an easy way. You don’t need a big textbook to master Data Science today. <br /><b>Get your copy now!!</b> <br /> <br /><b>
   Book Objectives 
</b> <br /> <br />This book is an introduction to data science with the following objectives: <br /> <br /> 
   To help you understand the correct meaning of data science.  
   To help you understand the various fields that make data science.  
   To familiarize you with various algorithms used in data science.  
   To introduce you to the most popular data science software tools.  
   To help you understand the best languages for data science tasks.  
   To help you know where and how you can apply data science in your business. 
  <br /> <br /><b>
   Who is this Book is for?  
</b> <br /> <br />Here are the target readers for this book: <br /> <br /> 
    Anybody who needs to familiarize themselves with the fundamentals of data science..  
    Anybody who needs a thorough introduction to data science before venturing into its practicalities..  
    Anybody who needs to know where and how they can apply data science in their business.  
    Professionals in data science, computer programming, computer scientist. 
   Professors, lecturers or tutors who are looking to find better ways to explain Data Science to their students in the simplest and easiest way.  
    Students and academicians, especially those focusing on Data Science, Computer Science, Neural Networks, Machine Learning, and Deep Learning.  
    Anybody who needs to understand the various approaches, tools, and theories underlying data science.  
  <br /> <br /><b>
   What do you need for this Book?  
</b> <br /> <br />The author expects you to have a computer installed with an operating system such as Linux, Windows or Mac OS X. And you are required to have installed the following on your computer: <br /> 
   Python 3.X 
   Numpy 
   Pandas 
   Matplotlib 
  <br /> <br />The Author guides you on how to install and configure the rest of the Python libraries that are required for data analysis. <br /> <br /><b>
   What is inside the book?  
</b> <br /> <br /> 
   BASICS OF DATA SCIENCE 
   DECISION THEORY 
   ESTIMATION THEORY 
   COORDINATE SYSTEMS 
   LINEAR TRANSFORMATION 
   GRAPH THEORY 
   ALGORITHMS 
   MACHINE LEARNING 
   DATA COLLECTION, MODELLING, AND COMPILATION 
   DATA ANALYSIS 
   DATA PRESENTATION AND VISUALIZATION 
   DATASCIENCE SOFTWARE TOOLS 
   PROGRAMMING LANGUAGES FOR DATA SCIENCE 
   APPLICATIONS OF DATA SCIENCE. 
  <br /> <br />The author has discussed everything that you need to know about data science. First, you are guided to learn the meaning of data science. The history of data science has been discussed to help you know how people came to realize that data is a rich source of knowledge and intelligence. The theories underlying data science have been discussed.",113.0,2,0,,"September 16, 2019",3.5,Fundamentals of Data Science: Take the first Step to Become a Data Scientist
Andrew Park,Kindle Edition,49672564,"Everyone talks about data today. You have probably come across the term “data” more times than you can remember in one day. Data as a concept is so wide. One thing that is true about data is that it can be used to tell a story. The story could be anything from explaining an event to predicting the future. Data is the future . Businesses, governments, organizations, criminals—everyone needs data for some reason. Entities are investing in different data approaches to help them understand their current situation, and use it to prepare for the unknown. The world of technology as we know it is evolving towards an open-source platform where people share ideas freely. This is seen as the first step towards the decentralization of ideas and eliminating unnecessary monopolies. Therefore, the data, tools, and techniques used in the analysis are easily available for anyone to interpret data sets and get relevant explanations.<br />While most books focus on how to implement advanced predictive models, this book takes the time to explain the basic concepts and all the necessary steps to correctly implement Data Analysis, including Data Visualization and providing practical examples and simple coding scripts. Don't miss the opportunity to learn more about these topics. Even if you never used Data Analysis, learning it is easier than it looks, you just need the right guidance. This practical guide provides all the knowledge you need in a simple and practical way.  Regardless of your previous experience,  you will learn the steps of Data Analysis, how to implement them in Python, and the most important real-world applications.<br />Would You Like To Know More?",153.0,6,1,,"December 17, 2019",3.0,"Python for Data Analysis: A Step By Step Guide to Master the Basics of Data Analysis in Python Using Pandas, Numpy And Ipython"
Dmitry Zinoviev,Paperback,30028184,"Go from messy, unstructured artifacts stored in SQL and NoSQL databases to a neat, well-organized dataset with this quick reference for the busy data scientist. Understand text mining, machine learning, and network analysis; process numeric data with the NumPy and Pandas modules; describe and analyze data using statistical and network-theoretical methods; and see actual examples of data analysis at work. This one-stop solution covers the essential data science you need in Python.<br /><br />Data science is one of the fastest-growing disciplines in terms of academic research, student enrollment, and employment. Python, with its flexibility and scalability, is quickly overtaking the R language for data-scientific projects. Keep Python data-science concepts at your fingertips with this modular, quick reference to the tools used to acquire, clean, analyze, and store data.<br /><br />This one-stop solution covers essential Python, databases, network analysis, natural language processing, elements of machine learning, and visualization. Access structured and unstructured text and numeric data from local files, databases, and the Internet. Arrange, rearrange, and clean the data. Work with relational and non-relational databases, data visualization, and simple predictive analysis (regressions, clustering, and decision trees). See how typical data analysis problems are handled. And try your hand at your own solutions to a variety of medium-scale projects that are fun to work on and look good on your resume.<br /><br />Keep this handy quick guide at your side whether you're a student, an entry-level data science professional converting from R to Python, or a seasoned Python developer who doesn't want to memorize every function and option.<br /><br />What You <br /><br />You need a decent distribution of Python 3.3 or above that includes at least NLTK, Pandas, NumPy, Matplotlib, Networkx, SciKit-Learn, and BeautifulSoup. A great distribution that meets the requirements is Anaconda, available for free from www.continuum.io. If you plan to set up your own database servers, you also need MySQL (www.mysql.com) and MongoDB (www.mongodb.com). Both packages are free and run on Windows, Linux, and Mac OS.",226.0,20,5,Pragmatic Bookshelf,"September 13, 2016",3.2,Data Science Essentials in Python: Collect - Organize - Explore - Predict - Value
Lazy Programmer,Kindle Edition,30238998,"This is the 3rd part in my Data Science and Machine Learning series on Deep Learning in Python. At this point, you already know a lot about neural networks and deep learning, including not just the basics like backpropagation, but how to improve it using modern techniques like momentum and adaptive learning rates. You've already written deep neural networks in Theano and TensorFlow, and you know how to run code using the GPU. <br /> <br />This book is all about how to use deep learning for computer vision using convolutional neural networks. These are the state of the art when it comes to image classification and they beat vanilla deep networks at tasks like MNIST. <br /> <br />In this course we are going to up the ante and look at the StreetView House Number (SVHN) dataset - which uses larger color images at various angles - so things are going to get tougher both computationally and in terms of the difficulty of the classification task. But we will show that convolutional neural networks, or CNNs, are capable of handling the challenge! <br /> <br />Because convolution is such a central part of this type of neural network, we are going to go in-depth on this topic. It has more applications than you might imagine, such as modeling artificial organs like the pancreas and the heart. I'm going to show you how to build convolutional filters that can be applied to audio, like the echo effect, and I'm going to show you how to build filters for image effects, like the Gaussian blur and edge detection. <br /> <br />After describing the architecture of a convolutional neural network, we will jump straight into code, and I will show you how to extend the deep neural networks we built last time with just a few new functions to turn them into CNNs. We will then test their performance and show how convolutional neural networks written in both Theano and TensorFlow can outperform the accuracy of a plain neural network on the StreetView House Number dataset. <br /> <br />All the materials used in this book are FREE. You can download and install Python, Numpy, Scipy, Theano, and TensorFlow with pip or easy_install. <br /> <br />Lastly, my goal is to show you that convolutional networks aren’t magical and they don’t require expert-level math to figure out. <br /> <br />It’s just the same thing we had with regular neural networks: <br /> <br />y = softmax( relu(X.dot(W1).dot(W2) ) <br /> <br />Except we replace the first “dot product” with a convolution: <br /> <br />y = softmax( relu(conv(X, W1)).dot(W2) ) <br /> <br />The way they are trained is exactly the same as before, so all your skills with backpropagation, etc. carry over.",52.0,15,1,,"May 15, 2016",3.53,"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow"
Roger D. Peng,ebook,28712925,"This book teaches the fundamental concepts and tools behind reporting modern data analyses in a reproducible manner. As data analyses become increasingly complex, the need for clear and reproducible report writing is greater than ever. The material for this book was developed as part of the industry-leading Johns Hopkins Data Science Specialization.",120.0,35,1,Leanpub,"December 3, 2015",3.77,Report Writing for Data Science in R
Eric Eager,Paperback,142415087,"Baseball is not the only sport to use ""moneyball."" American football teams, fantasy football players, fans, and gamblers are increasingly using data to gain an edge on the competition. Professional and college teams use data to help identify team needs and select players to fill those needs. Fantasy football players and fans use data to try to defeat their friends, while sports bettors use data in an attempt to defeat the sportsbooks. In this concise book, Eric Eager and Richard Erickson provide a clear introduction to using statistical models to analyze football data using both Python and R. Whether your goal is to qualify for an entry-level football analyst position, dominate your fantasy football league, or simply learn R and Python with fun example cases, this book is your starting place. Through case studies in both Python and R, you'll learn ",327.0,8,0,Oreilly & Associates Inc,"September 19, 2023",3.88,Football Analytics With Python & R: Learning Data Science Through the Lens of Sports
Lazy Programmer,Kindle Edition,30333785,"In a real-world environment, you can imagine that a robot or an artificial intelligence won’t always have access to the optimal answer, or maybe there isn’t an optimal correct answer. You’d want that robot to be able to explore the world on its own, and learn things just by looking for patterns. <br /> <br />Think about the large amounts of data being collected today, by the likes of the NSA, Google, and other organizations. No human could possibly sift through all that data manually. It was reported recently in the Washington Post and Wall Street Journal that the National Security Agency collects so much surveillance data, it is no longer effective. <br /> <br />Could automated pattern discovery solve this problem? <br /> <br />Do you ever wonder how we get the data that we use in our supervised machine learning algorithms? <br /> <br />Kaggle always seems to provide us with a nice CSV, complete with Xs and corresponding Ys. <br /> <br />If you haven’t been involved in acquiring data yourself, you might not have thought about this, but someone has to make this data! <br /> <br />A lot of the time this involves manual labor. Sometimes, you don’t have access to the correct information or it is infeasible or costly to acquire. <br /> <br />You still want to have some idea of the structure of the data. <br /> <br />This is where unsupervised machine learning comes into play. <br /> <br />In this book we are first going to talk about clustering. This is where instead of training on labels, we try to create our own labels. We’ll do this by grouping together data that looks alike. <br /> <br />The 2 methods of clustering we’ll talk about: k-means clustering and hierarchical clustering. <br /> <br />Next, because in machine learning we like to talk about probability distributions, we’ll go into Gaussian mixture models and kernel density estimation, where we talk about how to learn the probability distribution of a set of data. <br /> <br />One interesting fact is that under certain conditions, Gaussian mixture models and k-means clustering are exactly the same! We’ll prove how this is the case. <br /> <br />Lastly, we’ll look at the theory behind principal components analysis or PCA. PCA has many useful applications: visualization, dimensionality reduction, denoising, and de-correlation. You will see how it allows us to take a different perspective on latent variables, which first appear when we talk about k-means clustering and GMMs. <br /> <br />All the algorithms we’ll talk about in this course are staples in machine learning and data science, so if you want to know how to automatically find patterns in your data with data mining and pattern extraction, without needing someone to put in manual work to label that data, then this book is for you. <br /> <br />All of the materials required to follow along in this book are free: You just need to able to download and install Python, Numpy, Scipy, Matplotlib, and Sci-kit Learn.",57.0,14,1,,"May 22, 2016",3.64,"Unsupervised Machine Learning in Python: Master Data Science and Machine Learning with Cluster Analysis, Gaussian Mixture Models, and Principal Components Analysis"
Jike Chong,Paperback,58127260,"IN A WORD A field guide for the unique challenges of data science leadership, filled with transformative insights, personal experiences, and industry examples.<br /><br />""Spot-on as a career resource! Captures what’s important to be successful as a data scientist.”<br />Eric Colson, Former Data Executive at Stitch Fix, Netflix<br /><br />In How To Lead in Data Science you will <br /><br />Best practices for leading projects while balancing complex trade-offs<br />Specifying, prioritizing, and planning projects from vague requirements<br />Navigating structural challenges in your organization<br />Working through project failures with positivity and tenacity<br />Growing your team with coaching, mentoring, and advising<br />Crafting technology roadmaps and championing successful projects<br />Driving diversity, inclusion, and belonging within teams<br />Architecting a long-term business strategy and data roadmap as an executive<br />Delivering a data-driven culture and structuring productive data science organizations<br /><br />How to Lead in Data Science is full of techniques for leading data science at every seniority level—from heading up a single project to overseeing a whole company's data strategy. Authors Jike Chong and Yue Cathy Chang share hard-won advice that they've developed building data teams for LinkedIn, Acorns, Yiren Digital, large asset-management firms, Fortune 50 companies, and more. You'll find advice on plotting your long-term career advancement, as well as quick wins you can put into practice right away. Carefully crafted assessments and interview scenarios encourage introspection, reveal personal blind spots, and highlight development areas.<br /><br />Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications.<br /><br />About the technology<br />Lead your data science teams and projects to success! To make a consistent, meaningful impact as a data science leader, you must articulate technology roadmaps, plan effective project strategies, support diversity, and create a positive environment for professional growth. This book delivers the wisdom and practical skills you need to thrive as a data science leader at all levels, from team member to the C-suite.<br /><br />About the book<br />How to Lead in Data Science shares unique leadership techniques from high-performance data teams. It’s filled with best practices for balancing project trade-offs and producing exceptional results, even when beginning with vague requirements or unclear expectations. You’ll find a clearly presented modern leadership framework based on current case studies, with insights reaching all the way to Aristotle and Confucius. As you read, you’ll build practical skills to grow and improve your team, your company’s data culture, and yourself.<br /><br />What's inside<br /><br />How to coach and mentor team members<br />Navigate an organization’s structural challenges<br />Secure commitments from other teams and partners<br />Stay current with the technology landscape<br />Advance your career<br /><br />About the reader<br />For data science practitioners at all levels.<br /><br />About the author<br />Dr. Jike Chong and Yue Cathy Chang build, lead, and grow high-performing data teams across industries in public and private companies, such as Acorns, LinkedIn, large asset-management firms, and Fortune 50 companies.<br /><br />Table of Contents<br />1 What makes a successful data scientist?<br />PART 1 THE TECH CULTIVATING LEADERSHIP<br />2 Capabilities for leading projects<br />3 Virtues for leading projects<br />PART 2 THE NURTURING A TEAM<br />4 Capabilities for leading people<br />5 Virtues for leading people<br />PART 3 THE GOVERNING A FUNCTION<br />6 Capabilities for leading a function<br />7 Virtues for leading a function<br />PART 4 THE INSPIRING AN INDUSTRY<br />8 Capabilities for leading a company<br />9 Virtues for leading a company<br />PART 5 THE LOOP AND THE FUTURE<br />10 Landscape, organization, opportunity, and practice<br />11 Leading in data science and a future outlook",512.0,14,3,Manning,"December 21, 2021",3.71,How to Lead in Data Science
